,ET_W,ET_S,secTw,secTs,ETwTs,ET,secT,routing,EM,dist,k,l
44,272.43217808989425,10.0,27299.625002777822,223.05220883534136,8249.436511608066,282.43217808989425,44021.550234829294,Sshaped,2,negbin_15,1,100.0
45,152.4313178606583,10.0,27438.318185283795,345.8855421686747,1647.4819649135761,162.4313178606583,30946.492377848645,Return,2,bin_50,1,100.0
46,240.96385542168676,10.0,58063.57961968356,345.8855421686747,2409.6385542168678,250.96385542168676,63228.74227028597,Largest,2,bin_50,1,100.0
47,272.91324557150165,10.0,27402.028448021498,345.8855421686747,8237.409824567883,282.91324557150165,44222.73363932594,Sshaped,2,bin_50,1,100.0
48,152.39347045776594,10.0,27430.285285483063,346.0522088353414,1647.6712019280378,162.39347045776594,30939.00461874351,Return,2,bin_75,1,100.0
49,240.96385542168676,10.0,58063.57961968356,346.0522088353414,2409.6385542168678,250.96385542168676,63228.908936952634,Largest,2,bin_75,1,100.0
50,272.8753981686093,10.0,27393.99554822076,346.0522088353414,8238.356009640192,282.8753981686093,44216.75977633649,Sshaped,2,bin_75,1,100.0
51,152.37460086545553,10.0,27426.278808180487,346.1355421686747,1647.7655498895897,162.37460086545553,30935.27017069736,Return,2,bin_100,1,100.0
52,240.96385542168676,10.0,58063.57961968356,346.1355421686747,2409.6385542168678,250.96385542168676,63228.99227028597,Largest,2,bin_100,1,100.0
53,272.85652857629896,10.0,27389.989070918185,346.1355421686747,8238.827749447948,282.85652857629896,44213.780111982756,Sshaped,2,bin_100,1,100.0
54,172.57016366044505,15.0,32997.105043884825,419.5783132530121,2751.6070130230764,187.57016366044505,38739.02933266867,Return,3,poi,1,100.0
55,240.96385542168676,15.0,58063.57961968356,419.5783132530121,3614.4578313253014,255.96385542168676,65712.07359558718,Largest,3,poi,1,100.0
56,293.0520913712884,15.0,32960.81530662252,419.5783132530121,13758.035065115382,308.0520913712884,60896.4637501063,Sshaped,3,poi,1,100.0
57,162.90139361419705,15.0,30700.963884264955,519.5783132530121,2799.950863254316,177.90139361419705,36639.575873511276,Return,3,geo,1,100.0
58,240.96385542168676,15.0,58063.57961968356,519.5783132530121,3614.4578313253014,255.96385542168676,65812.07359558718,Largest,3,geo,1,100.0
59,283.38332132504047,15.0,30664.674147002654,519.5783132530121,13999.754316271588,298.38332132504047,59183.76109279884,Sshaped,3,geo,1,100.0
60,180.72289156626508,15.0,34874.437509072435,369.5783132530121,2710.843373493976,195.72289156626508,40484.83451879808,Return,3,det,1,100.0
61,240.96385542168676,15.0,58063.57961968356,369.5783132530121,3614.4578313253014,255.96385542168676,65662.07359558718,Largest,3,det,1,100.0
62,301.2048192771084,15.0,34838.14777181013,369.5783132530121,13554.21686746988,316.2048192771084,62316.159820002904,Sshaped,3,det,1,100.0
63,170.12657042162823,15.0,32425.497416269453,439.5783132530121,2763.8249792171605,185.12657042162823,38211.85763744147,Return,3,negbin_5,1,100.0
64,240.96385542168676,15.0,58063.57961968356,439.5783132530121,3614.4578313253014,255.96385542168676,65732.07359558718,Largest,3,negbin_5,1,100.0
65,290.6084981324716,15.0,32389.20767900715,439.5783132530121,13819.124896085803,305.6084981324716,60467.03578443177,Sshaped,3,negbin_5,1,100.0
66,171.30454824620332,15.0,32701.75637913981,429.57831325301197,2757.935090094285,186.30454824620332,38466.33682206608,Return,3,negbin_10,1,100.0
67,240.96385542168676,15.0,58063.57961968356,429.57831325301197,3614.4578313253014,255.96385542168676,65722.07359558718,Largest,3,negbin_10,1,100.0
68,291.78647595704666,15.0,32665.466641877516,429.57831325301197,13789.675450471419,306.78647595704666,60674.395856073366,Sshaped,3,negbin_10,1,100.0
